label,Habitat,Prey
Epitoniidae_Janthina_exigua,Neustonic,Hydrozoa
Epitoniidae_Janthina_cf.prolongata,Neustonic,Hydrozoa
Epitoniidae_Janthina_umbilicata,Neustonic,Hydrozoa
Epitoniidae_Recluzia_cg._jehennei,Neustonic,Actiniidae
Epitoniidae_Epitonium_tinctum,Benthic,Actiniidae
Epitoniidae_Surrepifungium_ingridae,Benthic,Scleractinia
Epitoniidae_Surrepifungium_costulatum,Benthic,Scleractinia
Epitoniidae_Epidendrium_sordidum,Benthic,Scleractinia
Epitoniidae_Alexania_inazawai,Benthic,Actiniidae
Epitoniidae_Cirsotrema_varicosum,Benthic,Actiniidae
Lyocyclidae_Lyocyclus_sp,Benthic,Unknown
Abyssochrysidae_Abyssochrysos_melanioides,Benthic,Unknown
Epitoniidae_Opalia_chacei,Benthic,Actiniidae
Epitoniidae_Opalia_gracilis,Benthic,Actiniidae
Epitoniidae_Janthina_janthina,Neustonic,Hydrozoa
