label,Habitat
Lepadidae_Conchoderma_auritum,Epibiotic
Lepadidae_Conchoderma_virgatum,Epibiotic
Heteralepadidae_Paralepas_dannevigi,Epibiotic
Heteralepadidae_Heteralepas_japonica,Epibiotic
Poecilasmatidae_Megalasma_striatum,Epibiotic
Poecilasmatidae_Poecilasma_inaequilaterale,Epibiotic
Poecilasmatidae_Octolasmis_warwickii,Epibiotic
Microlepadidae_Rugilepas_pearsei,Epibiotic
Oxynaspididae_Oxynaspis_celata,Epibiotic
Scalpellidae_Capitulum_mitella,Benthic
Anelasmatidae_Anelasma_squalicola,Epibiotic
Iblidae_Ibla_quadrivalvis,Benthic
Iblidae_Ibla_cumingi,Benthic
Scalpellidae_Lithotrya_velantiana,Benthic
Pollicipedidae_Pollicipes_pollicipes,Benthic
Pollicipedidae_Pollicipes_polymerus,Benthic
Scalpellidae_Trianguloscalpellum_regium,Benthic
Eolepadidae_Ashinkailepas_seepiophila,Benthic
Eolepadidae_Leucolepas_longa,Benthic
Eolepadidae_Vulcanolepas_osheai,Benthic
Eolepadidae_Neolepas_zevinae,Benthic
Lepadidae_Dosima_fascicularis,Neustonic
Lepadidae_Lepas_anserifera,Rafting
Lepadidae_Lepas_anatifera,Rafting
Lepadidae_Lepas_australis,Rafting
Lepadidae_Lepas_testudinata,Rafting
Lepadidae_Lepas_pectinata,Rafting
