label,Habitat,LifeCycle
Zancleidae_Zanclea_prolifera,Unknown,Meroplanktonic
Solanderiidae_Solanderia_secunda,Benthic,Benthic
Asyncorynidae_Asyncoryne_ryniensis,Benthic,Meroplanktonic
Milleporidae_Millepora_dichotoma,Benthic,Meroplanktonic
Milleporidae_Millepora_sp,Benthic,Meroplanktonic
Milleporidae_Millepora_braziliensis,Benthic,Meroplanktonic
Zancleidae_Zanclea_costata,Epibiotic,Meroplanktonic
Zancleopsidae_Zancleopsis_sp.,Epibiotic,Meroplanktonic
Zancleopsidae_Zancleopsis_tentaculata,Epibiotic,Meroplanktonic
Zancleidae_Zanclea_gallii,Epibiotic,Meroplanktonic
Zancleidae_Zanclea_sango,Epibiotic,Meroplanktonic
Cladocorynidae_Pteroclava_krempfi,Epibiotic,Meroplanktonic
Cladocorynidae_Cladocoryne_floccosa,Epibiotic,Benthic
Moerisiidae_Odessia_maeotica,Benthic,Meroplanktonic
Moerisiidae_Moerisia_inkermanica,Benthic,Meroplanktonic
Sphaerocorynidae_Heterocoryne_caribbensis,Benthic,Meroplanktonic
Sphaerocorynidae_Sphaerocoryne_sp,Epibiotic,Meroplanktonic
Sphaerocorynidae_Sphaerocoryne_agassizii,Epibiotic,Meroplanktonic
Pennariidae_Pennaria_disticha,Benthic,Meroplanktonic
FiliferaI_Eudendrium_carneum,Benthic,Benthic
Macrocolonia_Antennella_ansini,Benthic,Benthic
Eirenids_Eirene_viridula,Benthic,Meroplanktonic
FiliferaII_Proboscidactyla_flavicirrata,Benthic,Meroplanktonic
Cladocorynidae_Staurocladia_vallentini,Benthic,Benthic
Cladocorynidae_Eleutheria_claparedii,Benthic,Benthic
Cladocorynidae_Cladonema_radiatum,Benthic,Benthic
Cladocorynidae_Staurocladia_willingtoni,Benthic,Benthic
Corynidae_Stauridiosarsia_nipponica,Benthic,Meroplanktonic
Corynidae_Stauridiosarsia_gemmifera,Benthic,Meroplanktonic
Corynidae_Sarsia_striata,Benthic,Meroplanktonic
Corynidae_Sarsia_lovenii,Benthic,Meroplanktonic
Corynidae_Sarsia_tubulosa,Benthic,Meroplanktonic
Corynidae_Slabberia_halterata,Epibiotic,Meroplanktonic
Corynidae_Coryne_eximia,Benthic,Benthic
Corynidae_Coryne_pusilla,Benthic,Benthic
Corynidae_Coryne_muscoides,Benthic,Benthic
Porpitidae_Porpita_porpita,Neustonic,Holoplanktonic
Porpitidae_Porpita_sp,Neustonic,Holoplanktonic
Porpitidae_Velella_velella,Neustonic,Holoplanktonic
Corynidae_Codonium_proliferum,Pelagic,Holoplanktonic
