label,Habitat,Prey
Facelinidae_Myja-cf.-longicornis,Benthic,Hydrozoa
Facelinidae_Sakuraeolis-enosimensis,Benthic,Hydrozoa
Facelinidae_Facelina-annulicornis,Benthic,Hydrozoa
Facelinidae_Burnaia-heliocochorda,Benthic,Staurozoa
Facelinidae_Hermosita-hakunamatata,Benthic,Hydrozoa
Facelinidae_Caloria-elegans,Benthic,Hydrozoa
Facelinidae_Pruvotfolia-pselliotes,Benthic,Hydrozoa
Facelinidae_Learchis-poica,Benthic,Hydrozoa
Facelinidae_Austraeolis-stearnsi,Benthic,Hydrozoa
Babakinidae_Babakina-indopacifica,Benthic,Hydrozoa
Babakinidae_Babakina-anadoni,Benthic,Hydrozoa
Myrrhinidae_Hermissenda-crassicornis,Benthic,Generalist
Myrrhinidae_Dondice-occidentalis,Benthic,Hydrozoa
Facelinidae_Nanuca-sebastiani,Benthic,Hydrozoa
Myrrhinidae_Phyllodesmium-longicirrum,Benthic,Octocorallia
Myrrhinidae_Phyllodesmium-parangatum,Benthic,Octocorallia
Aeolidiidae_Zeusia-hypoborea-n.-gen.-n.-sp,Benthic,Hexacorallia
Aeolidiidae_Aeolidia-papillosa,Benthic,Hexacorallia
Aeolidiidae_Aeolidia-filomenae,Benthic,Hexacorallia
Aeolidiidae_Berghia-stephanieae,Benthic,Hexacorallia
Aeolidiidae_Berghia-rissodominguezi,Benthic,Hexacorallia
Aeolidiidae_Anteaeolidiella-chromosoma,Benthic,Hexacorallia
Aeolidiidae_Anteaeolidiella-cacaotica,Benthic,Hexacorallia
Aeolidiidae_Spurilla-sargassicola,Rafting,Hexacorallia
Aeolidiidae_Spurilla-neapolitana,Benthic,Hexacorallia
Aeolidiidae_Baeolidia-salaamica,Benthic,Hexacorallia
Aeolidiidae_Aeolidiopsis-ransoni,Benthic,Hexacorallia
Aeolidiidae_Baeolidia-moebii,Benthic,Hexacorallia
Aeolidiidae_Limenandra-confusa,Benthic,Hexacorallia
Piseinotecidae_Piseinotecus-gabinieri,Benthic,Hydrozoa
Coryphellidae_Himatina-trophina,Benthic,Generalist
Dendronotidae_Dendronotus-venustus,Benthic,Hydrozoa
Tritoniidae_Tritonia-nilsodhneri,Benthic,Octocorallia
Fionidae_Fiona-pinnata,Rafting,Hydrozoa
Cuthonidae_Cuthona-divae,Benthic,Hydrozoa
Calmidae_Calma-glaucoides,Benthic,Eggs
Flabellinidae_Coryphellina-exoptata,Benthic,Hydrozoa
Facelinidae_Favorinus-branchialis,Benthic,Eggs
Facelinidae_Favorinus-elenalexiarum,Benthic,Eggs
Glaucidae_Glaucilla-marginata-NP,Neustonic,Hydrozoa
Glaucidae_Glaucilla-marginata-IN,Neustonic,Hydrozoa
Glaucidae_Glaucilla-bennettae,Neustonic,Hydrozoa
Glaucidae_Glaucilla-thompsoni,Neustonic,Hydrozoa
Glaucidae_Glaucilla-mcfarlanei,Neustonic,Hydrozoa
Glaucidae_Glaucus-atlanticus-NP,Neustonic,Hydrozoa
Glaucidae_Glaucus-atlanticus-NA,Neustonic,Hydrozoa
Glaucidae_Glaucus-atlanticus-SP,Neustonic,Hydrozoa
Glaucidae_Glaucus-atlanticus-IN,Neustonic,Hydrozoa
Facelinidae_Cratena-peregrina,Benthic,Hydrozoa
