label,Habitat
Rhizophysidae_Rhizophysa_filiformis,Pelagic
Rhizophysidae_Rhizophysa_eysenhardtii,Pelagic
Physaliidae_Physalia_physalis,Neustonic
Oceaniidae_Turritopsis_nutricula,Benthic
Stylasteridae_Lepidopora_microstylus,Benthic
Hydractiniidae_Hydractinia_symbiolongicarpus,Epibiotic
Apolemiidae_Apolemia_rubriversa,Pelagic
Prayidae_Praya_dubia,Pelagic
Prayidae_Rosacea_flaccida,Pelagic
Clausophyidae_Chuniphyes_multidentata,Pelagic
Clausophyidae_Kephyes_ovata,Pelagic
Diphyidae_Sulculleolaria_quadrivalvis,Pelagic
Diphyidae_Lensia_conoidea,Pelagic
Diphyidae_Diphyes_dispar,Pelagic
Abylidae_Abylopsis_tetragona,Pelagic
Hippopodiidae_Hippoppodius_hippopus,Pelagic
Prayidae_Nectopyramis_diomedeae,Pelagic
Rhodaliidae_Stephalia_dilata,Pelagic
Stephanomiidae_Stephanomia_amphytridis,Pelagic
Erennidae_Erennaa_sp,Pelagic
Physophoridae_Physophora_hydrostatica,Pelagic
Agalmatidae_Athorybia_rosacea,Pelagic
Agalmatidae_Halisttemma_rubrum,Pelagic
Agalmatidae_Nanomia_bijuga,Pelagic
Forskaliidae_Forskalia_edwardsi,Pelagic
Cordagalmatidae_Cordagalma_ordinatum,Pelagic
Rhyzophysidae_Bathyphysa_conifera,Pelagic
